trading_date_d,date,N_d,Delta,lag_k,mu_hat_d,sign_mu_hat_d,abs_mu_hat_d,RSD_d_k,RQ_d,VarHat_d,ST_d_k,abs_ST_d,drift_state_d,drift_label_d,drift_sign,valid_day_flag,invalid_reason,mu_hat,sigma_hat_d,estimation_n_obs_d
2021-10-04,2021-10-04,307,1.0,1,-0.004548434190964163,-1,0.004548434190964163,0.0029386334522148354,3.7152253259601164e-06,3.7152253259601164e-06,1.5245891995799092,1.5245891995799092,0,no_detectable_drift,no_detectable_drift,False,nan_or_inf_returns,-0.004548434190964163,0.011481271259870274,63
2021-10-05,2021-10-05,263,1.0,1,-0.00417412952658652,-1,0.00417412952658652,-0.005707241755024891,2.948843580262884e-06,2.948843580262884e-06,-3.323536106349288,3.323536106349288,0,no_detectable_drift,no_detectable_drift,False,nan_or_inf_returns,-0.00417412952658652,0.011731258842718903,63
2021-10-06,2021-10-06,205,1.0,1,-0.004310230861487455,-1,0.004310230861487455,-0.0024316139782355776,4.453322307630736e-06,4.453322307630736e-06,-1.1522655220985496,1.1522655220985496,0,no_detectable_drift,no_detectable_drift,False,nan_or_inf_returns,-0.004310230861487455,0.012005180208901164,63
2021-10-07,2021-10-07,200,1.0,1,-0.002562046588975266,-1,0.002562046588975266,-0.0019942298210278648,4.5343502578499797e-07,4.5343502578499797e-07,-2.9615404860311205,2.9615404860311205,0,no_detectable_drift,no_detectable_drift,False,nan_or_inf_returns,-0.002562046588975266,0.01275700229645014,63
2021-10-08,2021-10-08,171,1.0,1,-0.0027111759709741974,-1,0.0027111759709741974,-0.00011959248249543289,7.656269144519708e-06,7.656269144519708e-06,-0.04322104718780421,0.04322104718780421,0,no_detectable_drift,no_detectable_drift,False,insufficient_minute_bars;nan_or_inf_returns,-0.0027111759709741974,0.012763526656857238,63
2021-10-11,2021-10-11,205,1.0,1,-0.0029271449394126384,-1,0.0029271449394126384,-0.0031646655899193903,2.1519963512399266e-06,2.1519963512399266e-06,-2.1572826942894596,2.1572826942894596,0,no_detectable_drift,no_detectable_drift,False,nan_or_inf_returns,-0.0029271449394126384,0.012750486240673032,63
2021-10-12,2021-10-12,170,1.0,1,-0.0024734752830729836,-1,0.0024734752830729836,-0.002547366185179646,3.2490005039754647e-06,3.2490005039754647e-06,-1.4132418517352143,1.4132418517352143,0,no_detectable_drift,no_detectable_drift,False,insufficient_minute_bars;nan_or_inf_returns,-0.0024734752830729836,0.01265095769036046,63
2021-10-13,2021-10-13,169,1.0,1,-0.0018473749336833235,-1,0.0018473749336833235,-0.0019764804977140463,2.426115372499692e-06,2.426115372499692e-06,-1.2689274975762788,1.2689274975762788,0,no_detectable_drift,no_detectable_drift,False,insufficient_minute_bars;nan_or_inf_returns,-0.0018473749336833235,0.01277508440517706,63
2021-10-14,2021-10-14,222,1.0,1,-0.0011018062955406914,-1,0.0011018062955406914,-0.0008880002816832539,8.084414249993976e-07,8.084414249993976e-07,-0.9876176076002487,0.9876176076002487,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,-0.0011018062955406914,0.013024518558866278,63
2021-10-15,2021-10-15,246,1.0,1,-0.0007117378158988439,-1,0.0007117378158988439,-6.759578959375636e-05,1.604600664002132e-06,1.604600664002132e-06,-0.05336249924409849,0.05336249924409849,0,no_detectable_drift,no_detectable_drift,False,nan_or_inf_returns,-0.0007117378158988439,0.013106395961368053,63
2021-10-18,2021-10-18,296,1.0,1,-1.909117430680462e-05,-1,1.909117430680462e-05,-0.0016182995106233434,8.168543619470981e-07,8.168543619470981e-07,-1.7905505509405233,1.7905505509405233,0,no_detectable_drift,no_detectable_drift,False,nan_or_inf_returns,-1.909117430680462e-05,0.013113469679111492,63
2021-10-19,2021-10-19,300,1.0,1,0.0026304862562349335,1,0.0026304862562349335,-0.002718033436376171,1.2249806548151841e-06,1.2249806548151841e-06,-2.4557840810590275,2.4557840810590275,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,0.0026304862562349335,0.011801499781765494,63
