frequency,drift_sign,grouping_scheme,group_value,horizon,count,mean_current_mu_hat,mean_current_sigma_hat,mean_future_mu_hat,mean_future_sigma_hat,mean_realized_cum_bps,mean_realized_max_up_bps,mean_realized_max_down_bps
daily_zoom,detectable_upward_drift,exclusive_location,none,8,311,0.008237293164072429,0.03925095487023549,3.014862959745384e-06,0.0008480085446901052,22.80536234566938,22.80536234566938,22.80536234566938
daily_zoom,detectable_upward_drift,exclusive_location,none,9,311,0.008237293164072429,0.03925095487023549,2.7148046586317714e-06,0.0008231879031572201,22.925579707378766,22.925579707378766,22.925579707378766
daily_zoom,detectable_upward_drift,exclusive_location,none,10,311,0.008237293164072429,0.03925095487023549,2.231531495820998e-06,0.0008025943023174598,23.005050763191356,23.005050763191356,23.005050763191356
daily_zoom,detectable_upward_drift,exclusive_location,none,11,311,0.008237293164072429,0.03925095487023549,1.5973400449856977e-06,0.0007818718725172462,22.919657937288722,22.919657937288722,22.919657937288722
daily_zoom,detectable_upward_drift,exclusive_location,none,12,311,0.008237293164072429,0.03925095487023549,1.1690100180741557e-07,0.0007658250960038704,22.510462112892785,22.510462112892785,22.510462112892785
daily_zoom,detectable_upward_drift,exclusive_location,none,13,311,0.008237293164072429,0.03925095487023549,1.7554419350869e-07,0.0007563397549138362,21.77296387232462,21.77296387232462,21.77296387232462
daily_zoom,no_detectable_drift,exclusive_location,above_mid_only,1,2,0.05689342050329746,0.30704919779506035,-0.0004810130836535661,0.001919532055804025,98.12863841608954,98.12863841608954,98.12863841608954
daily_zoom,no_detectable_drift,exclusive_location,above_mid_only,2,2,0.05689342050329746,0.30704919779506035,-0.00019075132877015408,0.0014389591435607293,72.72284544043661,72.72284544043661,72.72284544043661
daily_zoom,no_detectable_drift,exclusive_location,above_mid_only,3,2,0.05689342050329746,0.30704919779506035,-0.00011648594151853586,0.0012939660308146426,61.18907682269692,61.18907682269692,61.18907682269692
daily_zoom,no_detectable_drift,exclusive_location,above_mid_only,4,2,0.05689342050329746,0.30704919779506035,-6.93833790541526e-05,0.0011845415874891774,57.43743504032062,57.43743504032062,57.43743504032062
daily_zoom,no_detectable_drift,exclusive_location,above_mid_only,5,2,0.05689342050329746,0.30704919779506035,-2.0313021310596862e-05,0.0011222387592725058,57.81954283809565,57.81954283809565,57.81954283809565
daily_zoom,no_detectable_drift,exclusive_location,above_mid_only,6,2,0.05689342050329746,0.30704919779506035,-1.813085426168889e-05,0.001082353085631934,59.60663496780483,59.60663496780483,59.60663496780483
daily_zoom,no_detectable_drift,exclusive_location,above_mid_only,7,2,0.05689342050329746,0.30704919779506035,-2.4984972135149232e-05,0.001074538835732728,64.09189941282922,64.09189941282922,64.09189941282922
daily_zoom,no_detectable_drift,exclusive_location,above_mid_only,8,2,0.05689342050329746,0.30704919779506035,-1.5905539331580902e-05,0.001033857740750383,65.46789683790965,65.46789683790965,65.46789683790965
daily_zoom,no_detectable_drift,exclusive_location,above_mid_only,9,2,0.05689342050329746,0.30704919779506035,5.440034894814191e-06,0.0010407079072305865,73.43718641214303,73.43718641214303,73.43718641214303
daily_zoom,no_detectable_drift,exclusive_location,above_mid_only,10,2,0.05689342050329746,0.30704919779506035,-1.3364661915384792e-05,0.0011493972246305463,77.96034205465264,77.96034205465264,77.96034205465264
daily_zoom,no_detectable_drift,exclusive_location,above_mid_only,11,2,0.05689342050329746,0.30704919779506035,1.1399493807732744e-05,0.0013041409079066243,88.6733060266176,88.6733060266176,88.6733060266176
